Data point #,Stanza.Line,Hangeul 1,IPA 1,Onset 1,Onset type 1,Pitch 1,Semitone value 1,Hangeul 2,IPA 2,Onset 2,Onset type 2,Pitch 2,Semitone value 2,Onset sequence,(Expected) tone sequence,Melodic sequence,Setting,Semitone difference
1.001,3.8,다,tɑ,t,P,C#5,61,음,ɯm,∅,p,C#5,61,Pp,Level*,Level,Similar,0
1.002,3.8,음,ɯm,∅,p,C#5,61,세 ,sɛ,s,p,C#5,61,pp,Level*,Level,Similar,0
1.003,3.8,세,sɛ,s,p,C#5,61,곌,kjɛl,k,P,C#5,61,pP,Level*,Level,Similar,0
1.004,3.8,곌,kjɛl,k,P,C#5,61,열,jʌl,∅,p,C#5,61,Pp,Level*,Level,Similar,0
1.005,3.8,열,jʌl,∅,p,C#5,61,어,ʌ,∅,p,D5,62,pp,Level*,Up,Oblique (II),1
1.006,3.8,어,ʌ,∅,p,D5,62,난,nɑn,n,p,C#5,61,pp,Level*,Down,Oblique (II),-1
1.007,4.2,후,hu,h,p,E5,64,회,hwɛ,h,p,E5,64,pp,Level*,Level,Similar,0
1.008,4.2,회,hwɛ,h,p,E5,64,없,ʌp,∅,p,G#5,68,pp,Level*,Up,Oblique (II),4
1.009,4.2,없,ʌp,∅,p,G#5,68,어,ʌ,∅,p,E5,64,pp,Level*,Down,Oblique (II),-4
1.010,4.2,어,ʌ,∅,p,E5,64,난,nɑn,n,p,F#5,66,pp,Level*,Up,Oblique (II),2
1.011,4.2,난,nɑn,n,p,F#5,66,맞,mɑt,m,p,D5,62,pp,Level*,Down,Oblique (II),-4
1.012,4.3,맞,mɑt,m,p,D5,62,서,sʌ,s,p,E5,64,pp,Level*,Up,Oblique (II),2
1.013,4.3,서,sʌ,s,p,E5,64,난,nɑn,n,p,F#5,66,pp,Level*,Up,Oblique (II),2
1.014,4.3,난,nɑn,n,p,F#5,66,깨,k*ɛ,k*,T,D5,62,pT,Up?,Down,Contrary,-4
1.015,4.3,깨,k*ɛ,k*,T,D5,62,버,pʌ,p,P,E5,64,TP,Down?,Up,Contrary,2
1.016,4.3,버,pʌ,p,P,E5,64,렸,ljʌt,l,p,A5,69,Pp,Level*,Up,Oblique (II),5
1.017,4.3,렸,ljʌt,l,p,A5,69,지,tɕi,tɕ,p,A5,69,pp,Level*,Level,Similar,0
1.018,4.3,지,tɕi,tɕ,p,A5,69,날,nɑl,n,p,A5,69,pp,Level*,Level,Similar,0
1.019,4.4,날,nɑl,n,p,A5,69,따,t*ɑ,t*,T,A5,69,pT,Up?,Level,Oblique (I),0
1.020,4.4,따,t*ɑ,t*,T,A5,69,라,lɑ,l,p,B5,71,Tp,Down?,Up,Contrary,2
1.021,4.4,라,lɑ,l,p,B5,71,서,sʌ,s,p,B5,71,pp,Level*,Level,Similar,0
1.022,4.4,서,sʌ,s,p,B5,71,움,um,∅,p,B5,71,pp,Level*,Level,Similar,0
1.023,4.4,움,um,∅,p,B5,71,직,tɕik,tɕ,p,A5,69,pp,Level*,Down,Oblique (II),-2
1.024,4.4,직,tɕik,tɕ,p,A5,69,일,il,∅,p,G#5,68,pp,Level*,Down,Oblique (II),-1
1.025,4.4,일,il,∅,p,G#5,68,손,son,s,p,E5,64,pp,Level*,Down,Oblique (II),-4
1.026,4.5,손,son,s,p,E5,64,끝,k*ɯt,k*,T,E5,64,pT,Up?,Level,Oblique (I),0
1.027,4.5,끝,k*ɯt,k*,T,E5,64,으,ɯ,∅,p,A5,69,Tp,Down?,Up,Contrary,5
1.028,4.5,으,ɯ,∅,p,A5,69,로,lo,l,p,G#5,68,pp,Level*,Down,Oblique (II),-1
1.029,4.5,로,lo,l,p,G#5,68,세,sɛ,s,p,E5,64,pp,Level*,Down,Oblique (II),-4
1.030,4.5,세,sɛ,s,p,E5,64,상,sɑŋ,s,p,E5,64,pp,Level*,Level,Similar,0
1.031,4.5,상,sɑŋ,s,p,E5,64,을,ɯl,∅,p,E5,64,pp,Level*,Level,Similar,0
1.032,4.5,을,ɯl,∅,p,E5,64,두,tu,t,P,G#5,68,pP,Level*,Up,Oblique (II),4
1.033,4.5,두,tu,t,P,G#5,68,드,tɯ,t,P,E5,64,PP,Level,Down,Oblique (II),-4
1.034,4.5,드,tɯ,t,P,E5,64,려,ljʌ,l,p,F#5,66,Pp,Level*,Up,Oblique (II),2
1.035,4.5,려,ljʌ,l,p,F#5,66,움,um,∅,p,D5,62,pp,Level*,Down,Oblique (II),-4
1.036,4.5,움,um,∅,p,D5,62,직,tɕik,tɕ,p,E5,64,pp,Level*,Up,Oblique (II),2
1.037,4.5,직,tɕik,tɕ,p,E5,64,여,jʌ,∅,p,F#5,66,pp,Level*,Up,Oblique (II),2
1.038,8.1,깜,k*ɑm,k*,T,C#5,61,짝,tɕ*ɑk,tɕ*,p,C#5,61,Tp,Down?,Level,Oblique (I),0
1.039,8.1,짝,tɕ*ɑk,tɕ*,p,C#5,61,놀,nol,n,p,C#5,61,pp,Level*,Level,Similar,0
1.040,8.1,놀,nol,n,p,C#5,61,랄,lɑl,l,p,C#5,61,pp,Level*,Level,Similar,0
1.041,8.1,랄,lɑl,l,p,C#5,61,다,tɑ,t,P,F5,65,pP,Level*,Up,Oblique (II),4
1.042,8.1,다,tɑ,t,P,F5,65,음,ɯm,∅,p,F5,65,Pp,Level*,Level,Similar,0
1.043,8.2,키,kʰi,kʰ,A,A5,69,를,lɯl,l,p,G#5,68,Ap,Down*,Down,Similar,-1
1.044,8.2,를,lɯl,l,p,G#5,68,거,kʌ,k,P,F#5,66,pP,Level*,Down,Oblique (II),-2
1.045,8.2,거,kʌ,k,P,F#5,66,머,mʌ,m,p,G#5,68,Pp,Level*,Up,Oblique (II),2
1.046,8.2,머,mʌ,m,p,G#5,68,쥔,tɕwin,tɕ,p,A5,69,pp,Level*,Up,Oblique (II),1
1.047,8.2,쥔,tɕwin,tɕ,p,A5,69,주,tɕu,tɕ,p,B5,71,pp,Level*,Up,Oblique (II),2
1.048,8.2,주,tɕu,tɕ,p,B5,71,인,in,∅,p,A5,69,pp,Level*,Down,Oblique (II),-2
1.049,8.2,인,in,∅,p,A5,69,공,koŋ,k,P,G#5,68,pP,Level*,Down,Oblique (II),-1
1.050,8.2,공,koŋ,k,P,G#5,68,은,ɯn,∅,p,F#5,66,Pp,Level*,Down,Oblique (II),-2
1.051,8.2,은,ɯn,∅,p,F#5,66,나,nɑ,n,p,G#5,68,pp,Level*,Up,Oblique (II),2
1.052,8.3,쉽,swip,s,p,F5,65,게,kɛ,k,P,F5,65,pP,Level*,Level,Similar,0
1.053,8.4,같,kɑt,k,P,G#5,68,이,i,∅,p,A5,69,Pp,Level*,Up,Oblique (II),1
1.054,8.4,이,i,∅,p,A5,69,그,kɯ,k,P,B5,71,pP,Level*,Up,Oblique (II),2
1.055,8.4,그,kɯ,k,P,B5,71,려,ljʌ,l,p,A5,69,Pp,Level*,Down,Oblique (II),-2
1.056,8.4,려,ljʌ,l,p,A5,69,지,tɕi,tɕ,p,G#5,68,pp,Level*,Down,Oblique (II),-1
1.057,8.4,지,tɕi,tɕ,p,G#5,68,는,nɯn,n,p,F#5,66,pp,Level*,Down,Oblique (II),-2
1.058,8.4,는,nɯn,n,p,F#5,66,이,i,∅,p,G#5,68,pp,Level*,Up,Oblique (II),2
1.059,8.4,이,i,∅,p,G#5,68,미,mi,m,p,F#5,66,pp,Level*,Down,Oblique (II),-2
1.060,8.4,미,mi,m,p,F#5,66,지,tɕi,tɕ,p,F5,65,pp,Level*,Down,Oblique (II),-1
1.061,10.2,타,tʰɑ,tʰ,A,B5,71,오,o,∅,p,A5,69,Ap,Down*,Down,Similar,-2
1.062,10.2,오,o,∅,p,A5,69,르,lɯ,l,p,G#5,68,pp,Level*,Down,Oblique (II),-1
1.063,10.2,르,lɯ,l,p,G#5,68,는,nɯn,n,p,F#5,66,pp,Level*,Down,Oblique (II),-2
1.064,10.2,는,nɯn,n,p,F#5,66,날,nɑl,n,p,F#5,66,pp,Level*,Level,Similar,0
1.065,10.2,날,nɑl,n,p,F#5,66,느,nɯ,n,p,D5,62,pp,Level*,Down,Oblique (II),-4
1.066,10.3,느,nɯ,n,p,D5,62,껴,k*jʌ,k*,T,E5,64,pT,Up?,Up,Similar,2
1.067,10.3,껴,k*jʌ,k*,T,E5,64,난,nɑn,n,p,F#5,66,Tp,Down?,Up,Contrary,2
1.068,10.4,새,sɛ,s,p,A5,69,로,lo,l,p,B5,71,pp,Level*,Up,Oblique (II),2
1.069,10.4,로,lo,l,p,B5,71,워,wʌ,∅,p,B5,71,pp,Level*,Level,Similar,0
1.070,10.4,워,wʌ,∅,p,B5,71,지,tɕi,tɕ,p,A5,69,pp,Level*,Down,Oblique (II),-2
1.071,10.4,지,tɕi,tɕ,p,A5,69,는,nɯn,n,p,A5,69,pp,Level*,Level,Similar,0
1.072,10.5,난,nɑn,n,p,E6,76,눈,nun,n,p,D#6,75,pp,Level*,Down,Oblique (II),-1
1.073,10.5,눈,nun,n,p,D#6,75,을,ɯl,∅,p,C#6,73,pp,Level*,Down,Oblique (II),-2
1.074,10.5,을,ɯl,∅,p,C#6,73,떠,t*ʌ,t*,T,D#6,75,pT,Up?,Up,Similar,2
1.075,10.5,떠,t*ʌ,t*,T,D#6,75,시,si,s,p,C#6,73,Tp,Down?,Down,Similar,-2
1.076,10.6,시,si,s,p,C#6,73,작,tɕɑk,tɕ,p,C#6,73,pp,Level*,Level,Similar,0
1.077,10.6,작,tɕɑk,tɕ,p,C#6,73,된,twɛn,t,P,G#5,68,pP,Level*,Down,Oblique (II),-5
1.078,10.6,된,twɛn,t,P,G#5,68,걸,kʌl,k,P,A5,69,PP,Level,Up,Oblique (II),1
1.079,10.6,걸,kʌl,k,P,A5,69,알,ɑl,∅,p,A5,69,Pp,Level*,Level,Similar,0
1.080,10.6,알,ɑl,∅,p,A5,69,아,ɑ,∅,p,A5,69,pp,Level*,Level,Similar,0
1.081,14.2,거,kʌ,k,P,G#5,68,침,tɕʰim,tɕʰ,A,F#5,66,PA,Up,Down,Contrary,-2
1.082,14.2,침,tɕʰim,tɕʰ,A,F#5,66,없,ʌp,∅,p,F5,65,Ap,Down*,Down,Similar,-1
1.083,14.2,없,ʌp,∅,p,F5,65,는,nɯn,n,p,F#5,66,pp,Level*,Up,Oblique (II),1
1.084,14.3,나,nɑ,n,p,A5,69,를,lɯl,l,p,G#5,68,pp,Level*,Down,Oblique (II),-1
1.085,14.3,를,lɯl,l,p,G#5,68,둘,tul,t,P,F#5,66,pP,Level*,Down,Oblique (II),-2
1.086,14.3,둘,tul,t,P,F#5,66,러,lʌ,l,p,G#5,68,Pp,Level*,Up,Oblique (II),2
1.087,14.3,러,lʌ,l,p,G#5,68,싼,s*ɑn,s*,t,A5,69,pt,Up?,Up,Similar,1
1.088,14.4,거,kʌ,k,P,F#5,66,친,tɕʰin,tɕʰ,A,F#5,66,PA,Up,Level,Oblique (I),0
1.089,14.4,친,tɕʰin,tɕʰ,A,F#5,66,여,jʌ,∅,p,C#6,73,Ap,Down*,Up,Contrary,7
1.090,14.4,여,jʌ,∅,p,C#6,73,정,tɕʌŋ,tɕ,p,C#6,73,pp,Level*,Level,Similar,0
1.091,14.4,정,tɕʌŋ,tɕ,p,C#6,73,속,sok,s,p,C#6,73,pp,Level*,Level,Similar,0
1.092,14.4,속,sok,s,p,C#6,73,의,ɰi,∅,p,C#6,73,pp,Level*,Level,Similar,0
1.093,15.2,내,nɛ,n,p,G#5,68,가,kɑ,k,P,G#5,68,pP,Level*,Level,Similar,0
1.094,15.2,가,kɑ,k,P,G#5,68,깨,k*ɛ,k*,T,G#5,68,PT,Up?,Level,Oblique (I),0
1.095,15.2,깨,k*ɛ,k*,T,G#5,68,트,tʰɯ,tʰ,A,G#5,68,TA,Up???,Level,Oblique (I),0
1.096,15.2,트,tʰɯ,tʰ,A,G#5,68,릴,lil,l,p,G#5 -> F#5,68,Ap,Down*,Level,Oblique (I),0
1.097,15.2,릴,lil,l,p,G#5 -> F#5,68,모,mo,m,p,F#5,66,pp,Level*,Down,Oblique (II),-2
1.098,15.2,모,mo,m,p,F#5,66,든,tɯn,t,P,G#5,68,pP,Level*,Up,Oblique (II),2
2.001,2.2,새,sɛ,s,p,G4,55,롭,lop,l,p,G4,55,pp,Level*,Level,Similar,0
2.002,2.2,롭,lop,l,p,G4,55,게,kɛ,k,P,G4,55,pP,Level*,Level,Similar,0
2.003,2.2,게,kɛ,k,P,G4,55,펼,pʰjʌl,pʰ,A,G4,55,PA,Up,Level,Oblique (I),0
2.004,2.2,펼,pʰjʌl,pʰ,A,G4,55,쳐,tɕʰjʌ,tɕʰ,A,F4,53,AA,Level,Down,Oblique (II),-2
2.005,2.2,쳐,tɕʰjʌ,tɕʰ,A,F4,53,질,tɕil,tɕ,p,E4,52,Ap,Down*,Down,Similar,-1
2.006,2.2,질,tɕil,tɕ,p,E4,52,내,nɛ,n,p,D4,50,pp,Level*,Down,Oblique (II),-2
2.007,2.3,고,ko,k,P,G4,55,민,min,m,p,G4,55,Pp,Level*,Level,Similar,0
2.008,2.3,민,min,m,p,G4,55,도,to,t,P,G4,55,pP,Level*,Level,Similar,0
2.009,2.3,도,to,t,P,G4,55,불,pul,p,P,G4,55,PP,Level,Level,Similar,0
2.010,2.3,불,pul,p,P,G4,55,안,ɑn,∅,p,F4,53,Pp,Level*,Down,Oblique (II),-2
2.011,2.3,안,ɑn,∅,p,F4,53,도,to,t,P,E4,52,pP,Level*,Down,Oblique (II),-1
2.012,2.3,도,to,t,P,E4,52,다,tɑ,t,P,D4,50,PP,Level,Down,Oblique (II),-2
2.013,2.3,다,tɑ,t,P,D4,50,그,kɯ,k,P,D4,50,PP,Level,Level,Similar,0
2.014,2.3,그,kɯ,k,P,D4,50,만,mɑn,m,p,A3,45,Pp,Level*,Down,Oblique (II),-5
2.015,3.3,수,su,s,p,E4,52,없,ʌp,∅,p,C5,60,pp,Level*,Up,Oblique (II),8
2.016,3.3,없,ʌp,∅,p,C5,60,이,i,∅,p,B4,59,pp,Level*,Down,Oblique (II),-1
2.017,3.3,이,i,∅,p,B4,59,부,pu,p,P,B4,59,pP,Level*,Level,Similar,0
2.018,3.3,부,pu,p,P,B4,59,서,sʌ,s,p,A4,57,Pp,Level*,Down,Oblique (II),-2
2.019,3.3,서,sʌ,s,p,A4,57,지,tɕi,tɕ,p,C5,60,pp,Level*,Up,Oblique (II),3
2.020,3.3,지,tɕi,tɕ,p,C5,60,고,ko,k,P,C5,60,pP,Level*,Level,Similar,0
2.021,3.3,고,ko,k,P,C5,60,부,pu,p,P,C5,60,PP,Level,Level,Similar,0
2.022,3.3,부,pu,p,P,C5,60,딪,tit,t,P,D5,62,PP,Level,Up,Oblique (II),2
2.023,3.3,딪,tit,t,P,D5,62,쳐,tɕʰjʌ,tɕʰ,A,B4,59,PA,Up,Down,Contrary,-3
2.024,3.3,쳐,tɕʰjʌ,tɕʰ,A,B4,59,거,kʌ,k,P,E4,52,AP,Down,Down,Similar,-7
2.025,3.4,거,kʌ,k,P,E4,52,친,tɕʰin,tɕʰ,A,C5,60,PA,Up,Up,Similar,8
2.026,3.4,친,tɕʰin,tɕʰ,A,C5,60,돌,tol,t,P,A4,57,AP,Down,Down,Similar,-3
2.027,3.4,돌,tol,t,P,A4,57,은,ɯn,∅,p,G4,55,Pp,Level*,Down,Oblique (II),-2
2.028,3.4,은,ɯn,∅,p,G4,55,보,po,p,P,E4,52,pP,Level*,Down,Oblique (II),-3
2.029,3.4,보,po,p,P,E4,52,석,sʌk,s,p,D4,50,Pp,Level*,Down,Oblique (II),-2
2.030,3.4,석,sʌk,s,p,D4,50,이,i,∅,p,E4,52,pp,Level*,Up,Oblique (II),2
2.031,3.4,이,i,∅,p,E4,52,됐,twɛt,t,P,G4,55,pP,Level*,Up,Oblique (II),3
2.032,3.4,됐,twɛt,t,P,G4,55,어,ʌ,∅,p,E4,52,Pp,Level*,Down,Oblique (II),-3
2.033,4.1,외,wɛ,∅,p,E4,52,쳐,tɕʰjʌ,tɕʰ,A,D4,50,pA,Up*,Down,Contrary,-2
2.034,4.1,쳐,tɕʰjʌ,tɕʰ,A,D4,50,상,sɑŋ,s,p,D4,50,Ap,Down*,Level,Oblique (I),0
2.035,4.1,상,sɑŋ,s,p,D4,50,상,sɑŋ,s,p,D4,50,pp,Level*,Level,Similar,0
2.036,4.1,상,sɑŋ,s,p,D4,50,은,ɯn,∅,p,C4,48,pp,Level*,Down,Oblique (II),-2
2.037,4.1,은,ɯn,∅,p,C4,48,현,hjʌn,h,p,D4,50,pp,Level*,Up,Oblique (II),2
2.038,4.1,현,hjʌn,h,p,D4,50,실,sil,s,p,D4,50,pp,Level*,Level,Similar,0
2.039,4.1,실,sil,s,p,D4,50,이,i,∅,p,C4,48,pp,Level*,Down,Oblique (II),-2
2.040,4.1,이,i,∅,p,C4,48,돼,twɛ,t,P,A3,45,pP,Level*,Down,Oblique (II),-3
2.041,4.1,돼,twɛ,t,P,A3,45,저,tɕʌ,tɕ,p,E4,52,Pp,Level*,Up,Oblique (II),7
2.042,4.2,저,tɕʌ,tɕ,p,E4,52,위,wi,∅,p,D4,50,pp,Level*,Down,Oblique (II),-2
2.043,4.2,위,wi,∅,p,D4,50,에,ɛ,∅,p,C4,48,pp,Level*,Down,Oblique (II),-2
2.044,4.2,에,ɛ,∅,p,C4,48,승,sɯŋ,s,p,D4,50,pp,Level*,Up,Oblique (II),2
2.045,4.2,승,sɯŋ,s,p,D4,50,리,li,l,p,D4,50,pp,Level*,Level,Similar,0
2.046,4.2,리,li,l,p,D4,50,의,ɰi,∅,p,C4,48,pp,Level*,Down,Oblique (II),-2
2.047,4.2,의,ɰi,∅,p,C4,48,깃,kit,k,P,D4,50,pP,Level*,Up,Oblique (II),2
2.048,4.2,깃,kit,k,P,D4,50,발,pɑl,p,P,D4,50,PP,Level,Level,Similar,0
2.049,4.2,발,pɑl,p,P,D4,50,을,ɯl,∅,p,C4,48,Pp,Level*,Down,Oblique (II),-2
2.050,4.2,을,ɯl,∅,p,C4,48,꽂,k*ot,k*,T,D4,50,pT,Up?,Up,Similar,2
2.051,4.2,꽂,k*ot,k*,T,D4,50,아,ɑ,∅,p,E4,52,Tp,Down?,Up,Contrary,2
2.052,5.1,던,tʌn,t,P,E4,52,져,tɕjʌ,tɕ,p,D4,50,Pp,Level*,Down,Oblique (II),-2
2.053,5.1,져,tɕjʌ,tɕ,p,D4,50,열,jʌl,∅,p,D4,50,pp,Level*,Level,Similar,0
2.054,5.1,열,jʌl,∅,p,D4,50,정,tɕʌŋ,tɕ,p,D4,50,pp,Level*,Level,Similar,0
2.055,5.1,정,tɕʌŋ,tɕ,p,D4,50,의,ɰi,∅,p,C4,48,pp,Level*,Down,Oblique (II),-2
2.056,5.1,의,ɰi,∅,p,C4,48,불,pul,p,P,D4,50,pP,Level*,Up,Oblique (II),2
2.057,5.1,불,pul,p,P,D4,50,꽃,k*ot,k*,T,D4,50,PT,Up?,Level,Oblique (I),0
2.058,5.1,꽃,k*ot,k*,T,D4,50,을,ɯl,∅,p,C4,48,Tp,Down?,Down,Similar,-2
2.059,5.1,을,ɯl,∅,p,C4,48,다,tɑ,t,P,A3,45,pP,Level*,Down,Oblique (II),-3
2.060,5.1,다,tɑ,t,P,A3,45,내,nɛ,n,p,E4,52,Pp,Level*,Up,Oblique (II),7
2.061,5.2,내,nɛ,n,p,E4,52,안,ɑn,∅,p,D4,50,pp,Level*,Down,Oblique (II),-2
2.062,5.2,안,ɑn,∅,p,D4,50,의,ɰi,∅,p,C4,48,pp,Level*,Down,Oblique (II),-2
2.063,5.2,의,ɰi,∅,p,C4,48,강,kɑŋ,k,P,D4,50,pP,Level*,Up,Oblique (II),2
2.064,5.2,강,kɑŋ,k,P,D4,50,렬,ljʌl,l,p,D4,50,Pp,Level*,Level,Similar,0
2.065,5.2,렬,ljʌl,l,p,D4,50,한,hɑn,h,p,C4,48,pp,Level*,Down,Oblique (II),-2
2.066,5.2,한,hɑn,h,p,C4,48,확,hwak,h,p,D4,50,pp,Level*,Up,Oblique (II),2
2.067,5.2,확,hwak,h,p,D4,50,신,sin,s,p,D4,50,pp,Level*,Level,Similar,0
2.068,5.2,신,sin,s,p,D4,50,을,ɯl,∅,p,G4,55,pp,Level*,Up,Oblique (II),5
2.069,5.2,을,ɯl,∅,p,G4,55,다,tɑ,t,P,E4,52,pP,Level*,Down,Oblique (II),-3
2.070,10.3,수,su,s,p,E4,52,없,ʌp,∅,p,C5,60,pp,Level*,Up,Oblique (II),8
2.071,10.3,없,ʌp,∅,p,C5,60,이,i,∅,p,B4,59,pp,Level*,Down,Oblique (II),-1
2.072,10.3,이,i,∅,p,B4,59,부,pu,p,P,B4,59,pP,Level*,Level,Similar,0
2.073,10.3,부,pu,p,P,B4,59,서,sʌ,s,p,A4,57,Pp,Level*,Down,Oblique (II),-2
2.074,10.3,서,sʌ,s,p,A4,57,지,tɕi,tɕ,p,C5,60,pp,Level*,Up,Oblique (II),3
2.075,10.3,지,tɕi,tɕ,p,C5,60,고,ko,k,P,C5,60,pP,Level*,Level,Similar,0
2.076,10.3,고,ko,k,P,C5,60,부,pu,p,P,C5,60,PP,Level,Level,Similar,0
2.077,10.3,부,pu,p,P,C5,60,딪,tit,t,P,D5,62,PP,Level,Up,Oblique (II),2
2.078,10.3,딪,tit,t,P,D5,62,쳐,tɕʰjʌ,tɕʰ,A,B4,59,PA,Up,Down,Contrary,-3
2.079,10.3,쳐,tɕʰjʌ,tɕʰ,A,B4,59,거,kʌ,k,P,E4,52,AP,Down,Down,Similar,-7
2.080,10.4,거,kʌ,k,P,E4,52,친,tɕʰin,tɕʰ,A,C5,60,PA,Up,Up,Similar,8
