Data point #,Stanza.Line,Hangeul 1,IPA 1,Onset 1,Onset type 1,Pitch 1,Semitone value 1,Hangeul 2,IPA 2,Onset 2,Onset type 2,Pitch 2,Semitone value 2,Onset sequence,(Expected) tone sequence,Melodic sequence,Setting,Semitone difference
7.032,7.3,피,pʰi,pʰ,A,F5,65,워,wʌ,∅,p,D#5,63,Ap,Down*,Down,Similar,-2
7.033,7.3,워,wʌ,∅,p,D#5,63,봐,pwa,p,P,C#5,61,pP,Level*,Down,Oblique (II),-2
8.001,1.4,발,pɑl,p,P,C5,60,박,pɑk,p,P,A#4,58,PP,Level,Down,Oblique (II),-2
8.002,1.4,박,pɑk,p,P,A#4,58,자,tɕɑ,tɕ,p,G#4,56,Pp,Level*,Down,Oblique (II),-2
8.003,1.4,자,tɕɑ,tɕ,p,G#4,56,를,lɯl,l,p,F4,53,pp,Level*,Down,Oblique (II),-3
8.004,1.4,를,lɯl,l,p,F4,53,맞,mɑt,m,p,G#4,56,pp,Level*,Up,Oblique (II),3
8.005,1.4,맞,mɑt,m,p,G#4,56,추,tɕʰu,tɕʰ,A,G#4,56,pA,Up*,Level,Oblique (I),0
8.006,1.4,추,tɕʰu,tɕʰ,A,G#4,56,고,ko,k,P,C5,60,AP,Down,Up,Contrary,4
8.007,2.2,너,nʌ,n,p,A#4,58,와,wa,∅,p,A#4,58,pp,Level*,Level,Similar,0
8.008,2.2,와,wa,∅,p,A#4,58,맞,mɑt,m,p,A#4,58,pp,Level*,Level,Similar,0
8.009,2.2,맞,mɑt,m,p,A#4,58,추,tɕʰu,tɕʰ,A,A#4,58,pA,Up*,Level,Oblique (I),0
8.010,2.2,추,tɕʰu,tɕʰ,A,A#4,58,는,nɯn,n,p,A#4,58,Ap,Down*,Level,Oblique (I),0
8.011,2.2,는,nɯn,n,p,A#4,58,눈,nun,n,p,G#4,56,pp,Level*,Down,Oblique (II),-2
8.012,2.4,너,nʌ,n,p,A#4,58,와,wa,∅,p,A#4,58,pp,Level*,Level,Similar,0
8.013,2.4,와,wa,∅,p,A#4,58,맞,mɑt,m,p,A#4,58,pp,Level*,Level,Similar,0
8.014,2.4,맞,mɑt,m,p,A#4,58,추,tɕʰu,tɕʰ,A,A#4,58,pA,Up*,Level,Oblique (I),0
8.015,2.4,추,tɕʰu,tɕʰ,A,A#4,58,는,nɯn,n,p,A#4,58,Ap,Down*,Level,Oblique (I),0
8.016,2.4,는,nɯn,n,p,A#4,58,춤,tɕʰum,tɕʰ,A,G#4,56,pA,Up*,Down,Contrary,-2
8.017,3.2,너,nʌ,n,p,F#4,54,와,wa,∅,p,F#4,54,pp,Level*,Level,Similar,0
8.018,3.2,와,wa,∅,p,F#4,54,맞,mɑt,m,p,F#4,54,pp,Level*,Level,Similar,0
8.019,3.2,맞,mɑt,m,p,F#4,54,추,tɕʰu,tɕʰ,A,F#4,54,pA,Up*,Level,Oblique (I),0
8.020,3.2,추,tɕʰu,tɕʰ,A,F#4,54,는,nɯn,n,p,G4,55,Ap,Down*,Up,Contrary,1
8.021,3.2,는,nɯn,n,p,G4,55,눈,nun,n,p,G#4,56,pp,Level*,Up,Oblique (II),1
8.022,3.4,너,nʌ,n,p,F#4,54,와,wa,∅,p,F#4,54,pp,Level*,Level,Similar,0
8.023,3.4,와,wa,∅,p,F#4,54,맞,mɑt,m,p,F#4,54,pp,Level*,Level,Similar,0
8.024,3.4,맞,mɑt,m,p,F#4,54,추,tɕʰu,tɕʰ,A,F#4,54,pA,Up*,Level,Oblique (I),0
8.025,3.4,추,tɕʰu,tɕʰ,A,F#4,54,는,nɯn,n,p,G4,55,Ap,Down*,Up,Contrary,1
8.026,3.4,는,nɯn,n,p,G4,55,춤,tɕʰum,tɕʰ,A,G#4,56,pA,Up*,Up,Similar,1
8.027,5.2,가,kɑ,k,P,D#4,51,볍,pjʌp,p,P,D#4,51,PP,Level,Level,Similar,0
8.028,5.2,볍,pjʌp,p,P,D#4,51,게,kɛ,k,P,F4,53,PP,Level,Up,Oblique (II),2
8.029,5.2,게,kɛ,k,P,F4,53,툭,tʰuk,tʰ,A,F#4,54,PA,Up,Up,Similar,1
8.030,5.2,툭,tʰuk,tʰ,A,F#4,54,어,ʌ,∅,p,F#4,54,Ap,Down*,Level,Oblique (I),0
8.031,5.3,어,ʌ,∅,p,F#4,54,깨,k*ɛ,k*,T,F#4,54,pT,Up?,Level,Oblique (I),0
8.032,5.3,깨,k*ɛ,k*,T,F#4,54,에,ɛ,∅,p,F4,53,Tp,Down?,Down,Similar,-1
8.033,5.3,에,ɛ,∅,p,F4,53,메,mɛ,m,p,F#4,54,pp,Level*,Up,Oblique (II),1
8.034,5.3,메,mɛ,m,p,F#4,54,고,ko,k,P,F4,53,pP,Level*,Down,Oblique (II),-1
8.035,5.3,고,ko,k,P,F4,53,시,si,s,p,D#4,51,Pp,Level*,Down,Oblique (II),-2
8.036,5.3,시,si,s,p,D#4,51,작,tɕɑk,tɕ,p,D#4,51,pp,Level*,Level,Similar,0
8.037,5.3,작,tɕɑk,tɕ,p,D#4,51,해,hɛ,h,p,D4,50,pp,Level*,Down,Oblique (II),-1
8.038,5.3,해,hɛ,h,p,D4,50,봐,pwa,p,P,D#4->C4,51,pP,Level*,Up,Oblique (II),1
8.039,5.3,봐,pwa,p,P,C4,48,불,pul,p,P,C#5,61,PP,Level,Up,Oblique (II),13
8.040,5.4,불,pul,p,P,C#5,61,타,tʰɑ,tʰ,A,C#5,61,PA,Up,Level,Oblique (I),0
8.041,5.4,타,tʰɑ,tʰ,A,C#5,61,오,o,∅,p,B4,59,Ap,Down*,Down,Similar,-2
8.042,5.4,오,o,∅,p,B4,59,를,lɯl,l,p,C#5,61,pp,Level*,Up,Oblique (II),2
8.043,5.5,외,wɛ,∅,p,C#5,61,치,tɕʰi,tɕʰ,A,B4,59,pA,Up*,Down,Contrary,-2
8.044,5.5,치,tɕʰi,tɕʰ,A,B4,59,는,nɯn,n,p,C#5,61,Ap,Down*,Up,Contrary,2
8.045,5.5,는,nɯn,n,p,C#5,61,순,sun,s,p,B4,59,pp,Level*,Down,Oblique (II),-2
8.046,5.5,순,sun,s,p,B4,59,간,kɑn,k,P,C#5,61,pP,Level*,Up,Oblique (II),2
8.047,6.2,너,nʌ,n,p,A#4,58,와,wa,∅,p,A#4,58,pp,Level*,Level,Similar,0
8.048,6.2,와,wa,∅,p,A#4,58,맞,mɑt,m,p,A#4,58,pp,Level*,Level,Similar,0
8.049,6.2,맞,mɑt,m,p,A#4,58,추,tɕʰu,tɕʰ,A,A#4,58,pA,Up*,Level,Oblique (I),0
8.050,6.2,추,tɕʰu,tɕʰ,A,A#4,58,는,nɯn,n,p,A#4,58,Ap,Down*,Level,Oblique (I),0
8.051,6.2,는,nɯn,n,p,A#4,58,눈,nun,n,p,G#4,56,pp,Level*,Down,Oblique (II),-2
8.052,6.4,너,nʌ,n,p,A#4,58,와,wa,∅,p,A#4,58,pp,Level*,Level,Similar,0
8.053,6.4,와,wa,∅,p,A#4,58,맞,mɑt,m,p,A#4,58,pp,Level*,Level,Similar,0
8.054,6.4,맞,mɑt,m,p,A#4,58,추,tɕʰu,tɕʰ,A,A#4,58,pA,Up*,Level,Oblique (I),0
8.055,6.4,추,tɕʰu,tɕʰ,A,A#4,58,는,nɯn,n,p,A#4,58,Ap,Down*,Level,Oblique (I),0
8.056,6.4,는,nɯn,n,p,A#4,58,춤,tɕʰum,tɕʰ,A,G#4,56,pA,Up*,Down,Contrary,-2
8.057,7.2,너,nʌ,n,p,F#4,54,와,wa,∅,p,F#4,54,pp,Level*,Level,Similar,0
8.058,7.2,와,wa,∅,p,F#4,54,맞,mɑt,m,p,F#4,54,pp,Level*,Level,Similar,0
8.059,7.2,맞,mɑt,m,p,F#4,54,추,tɕʰu,tɕʰ,A,F#4,54,pA,Up*,Level,Oblique (I),0
8.060,7.2,추,tɕʰu,tɕʰ,A,F#4,54,는,nɯn,n,p,G4,55,Ap,Down*,Up,Contrary,1
8.061,7.2,는,nɯn,n,p,G4,55,눈,nun,n,p,G#4,56,pp,Level*,Up,Oblique (II),1
8.062,7.4,너,nʌ,n,p,F#4,54,와,wa,∅,p,F#4,54,pp,Level*,Level,Similar,0
8.063,7.4,와,wa,∅,p,F#4,54,맞,mɑt,m,p,F#4,54,pp,Level*,Level,Similar,0
8.064,7.4,맞,mɑt,m,p,F#4,54,추,tɕʰu,tɕʰ,A,F#4,54,pA,Up*,Level,Oblique (I),0
8.065,7.4,추,tɕʰu,tɕʰ,A,F#4,54,는,nɯn,n,p,G4,55,Ap,Down*,Up,Contrary,1
8.066,7.4,는,nɯn,n,p,G4,55,춤,tɕʰum,tɕʰ,A,G#4,56,pA,Up*,Up,Similar,1
8.067,9.2,너,nʌ,n,p,A#4,58,와,wa,∅,p,A#4,58,pp,Level*,Level,Similar,0
8.068,9.2,와,wa,∅,p,A#4,58,맞,mɑt,m,p,A#4,58,pp,Level*,Level,Similar,0
8.069,9.2,맞,mɑt,m,p,A#4,58,추,tɕʰu,tɕʰ,A,A#4,58,pA,Up*,Level,Oblique (I),0
8.070,9.2,추,tɕʰu,tɕʰ,A,A#4,58,는,nɯn,n,p,A#4,58,Ap,Down*,Level,Oblique (I),0
8.071,9.2,는,nɯn,n,p,A#4,58,눈,nun,n,p,G#4,56,pp,Level*,Down,Oblique (II),-2
8.072,9.4,너,nʌ,n,p,A#4,58,와,wa,∅,p,A#4,58,pp,Level*,Level,Similar,0
8.073,9.4,와,wa,∅,p,A#4,58,맞,mɑt,m,p,A#4,58,pp,Level*,Level,Similar,0
8.074,9.4,맞,mɑt,m,p,A#4,58,추,tɕʰu,tɕʰ,A,A#4,58,pA,Up*,Level,Oblique (I),0
8.075,9.4,추,tɕʰu,tɕʰ,A,A#4,58,는,nɯn,n,p,A#4,58,Ap,Down*,Level,Oblique (I),0
8.076,9.4,는,nɯn,n,p,A#4,58,춤,tɕʰum,tɕʰ,A,G#4,56,pA,Up*,Down,Contrary,-2
8.077,10.2,너,nʌ,n,p,F#4,54,와,wa,∅,p,F#4,54,pp,Level*,Level,Similar,0
8.078,10.2,와,wa,∅,p,F#4,54,맞,mɑt,m,p,F#4,54,pp,Level*,Level,Similar,0
8.079,10.2,맞,mɑt,m,p,F#4,54,추,tɕʰu,tɕʰ,A,F#4,54,pA,Up*,Level,Oblique (I),0
8.080,10.2,추,tɕʰu,tɕʰ,A,F#4,54,는,nɯn,n,p,G4,55,Ap,Down*,Up,Contrary,1
8.081,10.2,는,nɯn,n,p,G4,55,눈,nun,n,p,G#4,56,pp,Level*,Up,Oblique (II),1
8.082,10.4,너,nʌ,n,p,F#4,54,와,wa,∅,p,F#4,54,pp,Level*,Level,Similar,0
8.083,10.4,와,wa,∅,p,F#4,54,맞,mɑt,m,p,F#4,54,pp,Level*,Level,Similar,0
8.084,10.4,맞,mɑt,m,p,F#4,54,추,tɕʰu,tɕʰ,A,F#4,54,pA,Up*,Level,Oblique (I),0
8.085,10.4,추,tɕʰu,tɕʰ,A,F#4,54,는,nɯn,n,p,G4,55,Ap,Down*,Up,Contrary,1
8.086,10.4,는,nɯn,n,p,G4,55,춤,tɕʰum,tɕʰ,A,G#4,56,pA,Up*,Up,Similar,1
9.001,3.3,틀,tʰɯl,tʰ,A,D4,50,림,lim,l,p,E4,52,Ap,Down*,Up,Contrary,2
9.002,3.3,림,lim,l,p,E4,52,없,ʌp,∅,p,F#4,54,pp,Level*,Up,Oblique (II),2
9.003,3.3,없,ʌp,∅,p,F#4,54,는,nɯn,n,p,F#4,54,pp,Level*,Level,Similar,0
9.004,3.3,는,nɯn,n,p,F#4,54,원,wʌn,∅,p,F#4,54,pp,Level*,Level,Similar,0
9.005,3.3,원,wʌn,∅,p,F#4,54,칙,tɕʰik,tɕʰ,A,F#4,54,pA,Up*,Level,Oblique (I),0
9.006,3.3,칙,tɕʰik,tɕʰ,A,F#4,54,실,sil,s,p,D4,50,Ap,Down*,Down,Similar,-4
9.007,3.4,실,sil,s,p,D4,50,수,su,s,p,E4,52,pp,Level*,Up,Oblique (II),2
9.008,3.4,수,su,s,p,E4,52,하,hɑ,h,p,F#4,54,pp,Level*,Up,Oblique (II),2
9.009,3.4,하,hɑ,h,p,F#4,54,면,mjʌn,m,p,F#4,54,pp,Level*,Level,Similar,0
9.010,3.4,면,mjʌn,m,p,F#4,54,안,ɑn,∅,p,F#4,54,pp,Level*,Level,Similar,0
9.011,3.4,안,ɑn,∅,p,F#4,54,돼,twɛ,t,P,F#4,54,pP,Level*,Level,Similar,0
9.012,4.3,차,tɕʰɑ,tɕʰ,A,G5,67,곡,kok,k,P,F#5,66,AP,Down,Down,Similar,-1
9.013,4.3,곡,kok,k,P,F#5,66,히,hi,h,p,B4,59,Pp,Level*,Down,Oblique (II),-7
9.014,4.3,히,hi,h,p,B4,59,쌓,s*ɑt,s*,t,B4,59,pt,Up?,Level,Oblique (I),0
9.015,4.3,쌓,s*ɑt,s*,t,B4,59,인,in,∅,p,A4,57,tp,Down?,Down,Similar,-2
9.016,4.3,인,in,∅,p,A4,57,너,nʌ,n,p,B4,59,pp,Level*,Up,Oblique (II),2
9.017,4.3,너,nʌ,n,p,B4,59,의,ɰi,∅,p,A4,57,pp,Level*,Down,Oblique (II),-2
9.018,5.1,너,nʌ,n,p,B4,59,란,lɑn,l,p,D5,62,pp,Level*,Up,Oblique (II),3
9.019,5.1,란,lɑn,l,p,D5,62,아,ɑ,∅,p,E5,64,pp,Level*,Up,Oblique (II),2
9.020,5.1,아,ɑ,∅,p,E5,64,이,i,∅,p,E5,64,pp,Level*,Level,Similar,0
9.021,5.1,이,i,∅,p,E5,64,너,nʌ,n,p,E5,64,pp,Level*,Level,Similar,0
9.022,5.1,너,nʌ,n,p,E5,64,만,mɑn,m,p,D5,62,pp,Level*,Down,Oblique (II),-2
9.023,5.1,만,mɑn,m,p,D5,62,의,ɰi,∅,p,E5,64,pp,Level*,Up,Oblique (II),2
9.024,5.1,의,ɰi,∅,p,E5,64,루,lu,l,p,F#5,66,pp,Level*,Up,Oblique (II),2
9.025,5.1,루,lu,l,p,F#5,66,틴,tʰin,tʰ,A,D5,62,pA,Up*,Down,Contrary,-4
9.026,5.1,틴,tʰin,tʰ,A,D5,62,그,kɯ,k,P,E5,64,AP,Down,Up,Contrary,2
9.027,5.2,그,kɯ,k,P,E5,64,특,tʰɯk,tʰ,A,E5,64,PA,Up,Level,Oblique (I),0
9.028,5.2,특,tʰɯk,tʰ,A,E5,64,별,pjʌl,p,P,E5,64,AP,Down,Level,Oblique (I),0
9.029,5.2,별,pjʌl,p,P,E5,64,함,hɑm,h,p,F#5,66,Pp,Level*,Up,Oblique (II),2
9.030,5.2,함,hɑm,h,p,F#5,66,느,nɯ,n,p,B4,59,pp,Level*,Down,Oblique (II),-7
9.031,5.3,느,nɯ,n,p,B4,59,낀,k*in,k*,T,D5,62,pT,Up?,Up,Similar,3
9.032,5.3,낀,k*in,k*,T,D5,62,대,tɛ,t,P,E5,64,TP,Down?,Up,Contrary,2
9.033,5.3,대,tɛ,t,P,E5,64,로,lo,l,p,D5,62,Pp,Level*,Down,Oblique (II),-2
9.034,5.3,로,lo,l,p,D5,62,널,nʌl,n,p,E5,64,pp,Level*,Up,Oblique (II),2
9.035,5.3,널,nʌl,n,p,E5,64,풀,pʰul,pʰ,A,D5,62,pA,Up*,Down,Contrary,-2
9.036,5.3,풀,pʰul,pʰ,A,D5,62,어,ʌ,∅,p,E5,64,Ap,Down*,Up,Contrary,2
9.037,5.3,어,ʌ,∅,p,E5,64,볼,pol,p,P,F#5,66,pP,Level*,Up,Oblique (II),2
9.038,5.3,볼,pol,p,P,F#5,66,게,kɛ,k,P,D5,62,PP,Level,Down,Oblique (II),-4
9.039,10.5,감,kɑm,k,P,D5,62,동,toŋ,t,P,D5,62,PP,Level,Level,Similar,0
9.040,10.5,동,toŋ,t,P,D5,62,시,si,s,p,E5,64,Pp,Level*,Up,Oblique (II),2
9.041,10.5,시,si,s,p,E5,64,키,kʰi,kʰ,A,G5,67,pA,Up*,Up,Similar,3
9.042,10.5,키,kʰi,kʰ,A,G5,67,고,ko,k,P,E5,64,AP,Down,Down,Similar,-3
9.043,10.5,고,ko,k,P,E5,64,싶,sip,s,p,A5,69,Pp,Level*,Up,Oblique (II),5
9.044,10.5,싶,sip,s,p,A5,69,어,ʌ,∅,p,G5->E5,67,pp,Level*,Down,Oblique (II),-2
9.045,11.1,너,nʌ,n,p,B4,59,란,lɑn,l,p,D5,62,pp,Level*,Up,Oblique (II),3
9.046,11.1,란,lɑn,l,p,D5,62,아,ɑ,∅,p,E5,64,pp,Level*,Up,Oblique (II),2
9.047,11.1,아,ɑ,∅,p,E5,64,이,i,∅,p,E5,64,pp,Level*,Level,Similar,0
9.048,11.1,이,i,∅,p,E5,64,너,nʌ,n,p,E5,64,pp,Level*,Level,Similar,0
9.049,11.1,너,nʌ,n,p,E5,64,만,mɑn,m,p,D5,62,pp,Level*,Down,Oblique (II),-2
9.050,11.1,만,mɑn,m,p,D5,62,의,ɰi,∅,p,E5,64,pp,Level*,Up,Oblique (II),2
9.051,11.1,의,ɰi,∅,p,E5,64,루,lu,l,p,F#5,66,pp,Level*,Up,Oblique (II),2
9.052,11.1,루,lu,l,p,F#5,66,틴,tʰin,tʰ,A,D5,62,pA,Up*,Down,Contrary,-4
9.053,11.1,틴,tʰin,tʰ,A,D5,62,그,kɯ,k,P,E5,64,AP,Down,Up,Contrary,2
9.054,11.2,그,kɯ,k,P,E5,64,특,tʰɯk,tʰ,A,E5,64,PA,Up,Level,Oblique (I),0
9.055,11.2,특,tʰɯk,tʰ,A,E5,64,별,pjʌl,p,P,E5,64,AP,Down,Level,Oblique (I),0
9.056,11.2,별,pjʌl,p,P,E5,64,함,hɑm,h,p,F#5,66,Pp,Level*,Up,Oblique (II),2
9.057,11.2,함,hɑm,h,p,F#5,66,느,nɯ,n,p,B4,59,pp,Level*,Down,Oblique (II),-7
9.058,11.3,느,nɯ,n,p,B4,59,낀,k*in,k*,T,D5,62,pT,Up?,Up,Similar,3
9.059,11.3,낀,k*in,k*,T,D5,62,대,tɛ,t,P,E5,64,TP,Down?,Up,Contrary,2
9.060,11.3,대,tɛ,t,P,E5,64,로,lo,l,p,D5,62,Pp,Level*,Down,Oblique (II),-2
9.061,11.3,로,lo,l,p,D5,62,널,nʌl,n,p,E5,64,pp,Level*,Up,Oblique (II),2
9.062,11.3,널,nʌl,n,p,E5,64,풀,pʰul,pʰ,A,D5,62,pA,Up*,Down,Contrary,-2
9.063,11.3,풀,pʰul,pʰ,A,D5,62,어,ʌ,∅,p,E5,64,Ap,Down*,Up,Contrary,2
9.064,11.3,어,ʌ,∅,p,E5,64,볼,pol,p,P,F#5,66,pP,Level*,Up,Oblique (II),2
9.065,11.3,볼,pol,p,P,F#5,66,게,kɛ,k,P,D5,62,PP,Level,Down,Oblique (II),-4
9.066,13.3,넌,nʌn,n,p,F#5,66,우,u,∅,p,E5,64,pp,Level*,Down,Oblique (II),-2
9.067,13.3,우,u,∅,p,E5,64,주,tɕu,tɕ,p,F#5,66,pp,Level*,Up,Oblique (II),2
9.068,13.3,주,tɕu,tɕ,p,F#5,66,보,po,p,P,E5,64,pP,Level*,Down,Oblique (II),-2
9.069,13.3,보,po,p,P,E5,64,다,tɑ,t,P,F#5,66,PP,Level,Up,Oblique (II),2
9.070,13.3,다,tɑ,t,P,F#5,66,많,mɑn,m,p,E5,64,Pp,Level*,Down,Oblique (II),-2
9.071,13.3,많,mɑn,m,p,E5,64,은,ɯn,∅,p,F#5,66,pp,Level*,Up,Oblique (II),2
9.072,13.3,은,ɯn,∅,p,F#5,66,그,kɯ,k,P,E5,64,pP,Level*,Down,Oblique (II),-2
9.073,13.3,그,kɯ,k,P,E5,64,주,tɕu,tɕ,p,F#5,66,Pp,Level*,Up,Oblique (II),2
9.074,13.3,주,tɕu,tɕ,p,F#5,66,파,pʰɑ,pʰ,A,E5,64,pA,Up*,Down,Contrary,-2
9.075,13.3,파,pʰɑ,pʰ,A,E5,64,수,su,s,p,F#5,66,Ap,Down*,Up,Contrary,2
9.076,16.1,너,nʌ,n,p,B4,59,란,lɑn,l,p,D5,62,pp,Level*,Up,Oblique (II),3
9.077,16.1,란,lɑn,l,p,D5,62,아,ɑ,∅,p,E5,64,pp,Level*,Up,Oblique (II),2
9.078,16.1,아,ɑ,∅,p,E5,64,이,i,∅,p,E5,64,pp,Level*,Level,Similar,0
9.079,16.1,이,i,∅,p,E5,64,너,nʌ,n,p,E5,64,pp,Level*,Level,Similar,0
9.080,16.1,너,nʌ,n,p,E5,64,만,mɑn,m,p,D5,62,pp,Level*,Down,Oblique (II),-2
9.081,16.1,만,mɑn,m,p,D5,62,의,ɰi,∅,p,E5,64,pp,Level*,Up,Oblique (II),2
9.082,16.1,의,ɰi,∅,p,E5,64,루,lu,l,p,F#5,66,pp,Level*,Up,Oblique (II),2
9.083,16.1,루,lu,l,p,F#5,66,틴,tʰin,tʰ,A,D5,62,pA,Up*,Down,Contrary,-4
9.084,16.1,틴,tʰin,tʰ,A,D5,62,그,kɯ,k,P,E5,64,AP,Down,Up,Contrary,2
9.085,16.3,그,kɯ,k,P,E5,64,특,tʰɯk,tʰ,A,E5,64,PA,Up,Level,Oblique (I),0
9.086,16.3,특,tʰɯk,tʰ,A,E5,64,별,pjʌl,p,P,E5,64,AP,Down,Level,Oblique (I),0
9.087,16.3,별,pjʌl,p,P,E5,64,함,hɑm,h,p,F#5,66,Pp,Level*,Up,Oblique (II),2
9.088,16.3,함,hɑm,h,p,F#5,66,느,nɯ,n,p,B4,59,pp,Level*,Down,Oblique (II),-7
9.089,16.4,느,nɯ,n,p,B4,59,낀,k*in,k*,T,D5,62,pT,Up?,Up,Similar,3
9.090,16.4,낀,k*in,k*,T,D5,62,대,tɛ,t,P,E5,64,TP,Down?,Up,Contrary,2
9.091,16.4,대,tɛ,t,P,E5,64,로,lo,l,p,D5,62,Pp,Level*,Down,Oblique (II),-2
9.092,16.4,로,lo,l,p,D5,62,널,nʌl,n,p,E5,64,pp,Level*,Up,Oblique (II),2
9.093,16.4,널,nʌl,n,p,E5,64,풀,pʰul,pʰ,A,D5,62,pA,Up*,Down,Contrary,-2
9.094,16.4,풀,pʰul,pʰ,A,D5,62,어,ʌ,∅,p,E5,64,Ap,Down*,Up,Contrary,2
9.095,16.4,어,ʌ,∅,p,E5,64,볼,pol,p,P,F#5,66,pP,Level*,Up,Oblique (II),2
9.096,16.4,볼,pol,p,P,F#5,66,게,kɛ,k,P,D5,62,PP,Level,Down,Oblique (II),-4